"file","passengers","originalRoute","finalRoute","pass1","repaired","finalPass","status","offers","supplierMessage"
"HoldMulti6.json","ADTx4,CHDx2,INFx2","CAI-SSH@+29d | LXR-CAI@+34d","CAI-SSH@+29d | LXR-CAI@+34d","True","False","True","200","65",""
"HoldOne.json","ADTx2,CHDx2,INFx2","HBE-CAI@+43d","HBE-CAI@+43d","True","False","True","200","4",""
"HoldOne1.json","ADTx3,CHDx3,INFx3","JED-CAI@+42d","JED-CAI@+42d","True","False","True","200","16",""
"HoldOne2.json","ADTx4,CHDx2,INFx2","FRA-CAI@+43d","FRA-CAI@+43d","True","False","True","200","17",""
"HoldOne3.json","ADTx3,CHDx3,INFx3","CAI-FRA@+31d","CAI-FRA@+31d","True","False","True","200","12",""
"HoldRound.json","ADTx2,CHDx2,INFx2","YNB-CAI@+24d | CAI-YNB@+31d","YNB-CAI@+24d | CAI-YNB@+31d","True","False","True","200","16",""
"HoldRound1.json","ADTx5,CHDx2,INFx2","LXR-CAI@+22d | CAI-LXR@+29d","LXR-CAI@+22d | CAI-LXR@+29d","True","False","True","200","100",""
"HoldRound2.json","ADTx4,CHDx2,INFx2","CGN-CAI@+23d | CAI-CGN@+30d","CGN-CAI@+23d | CAI-CGN@+30d","True","False","True","200","200",""
"HoldRound3.json","ADTx3,CHDx3,INFx3","CAI-MUC@+35d | MUC-CAI@+42d","CAI-MUC@+35d | MUC-CAI@+42d","True","False","True","200","200",""
"HoldRound5.json","ADTx2,CHDx2,INFx2","JED-CAI@+30d | CAI-JED@+37d","JED-CAI@+30d | CAI-JED@+37d","True","False","True","200","156",""
"HoldRound6.json","ADTx5,CHDx2,INFx2","FRA-CAI@+31d | CAI-FRA@+38d","FRA-CAI@+31d | CAI-FRA@+38d","True","False","True","200","200",""
"VoidMulti.json","ADTx2,CHDx2,INFx2","CAI-JED@+41d | CAI-DUS@+44d","CAI-JED@+41d | CAI-DUS@+44d","True","False","True","200","200",""
"VoidMulti2.json","ADTx2,CHDx2,INFx2","CAI-KWI@+30d | JED-CAI@+35d","CAI-KWI@+30d | JED-CAI@+35d","True","False","True","200","64",""
"VoidOne.json","ADTx2,CHDx2,INFx2","CGN-CAI@+35d","CGN-CAI@+35d","True","False","True","200","14",""
"VoidRound.json","ADTx4,CHDx2,INFx3","YNB-CAI@+24d | CAI-YNB@+31d","YNB-CAI@+24d | CAI-YNB@+31d","True","False","True","200","16",""
